,vuzemi_kod,OborCount,PopCount,vuzemi_txt
0,3042,342,472331,Plzeňský kraj
1,3077,259,348860,Liberecký kraj
2,3051,164,235018,Karlovarský kraj
3,3018,809,1070032,Hlavní město Praha
4,3140,682,952974,Moravskoslezský kraj
5,3123,419,501969,Olomoucký kraj
6,3107,652,405163,Kraj Vysočina
7,3034,395,511000,Jihočeský kraj
8,3085,327,438969,Královéhradecký kraj
9,3131,397,464704,Zlínský kraj
10,3026,729,1081557,Středočeský kraj
11,3115,878,949258,Jihomoravský kraj
12,3069,437,644856,Ústecký kraj
13,3093,308,414895,Pardubický kraj
