,2018-12,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12
0,"(0.0, 100.0]",1.0,6,6,4,4,4,4,4,4,4,4,4
1,"(0.0, 100.0]",1.0,4,4,4,4,4,4,4,4,4,4,4
2,"(100.0, 1000.0]",0.7678571428571429,661,694,705,726,731,750,771,786,808,817,840
3,"(0.0, 100.0]",0.85,17,17,16,16,16,16,16,18,20,20,20
4,"(0.0, 100.0]",0.75,12,12,13,13,13,14,13,13,14,15,16
5,"(100.0, 1000.0]",0.8257261410788381,207,212,206,214,216,219,225,236,235,239,241
6,"(0.0, 100.0]",0.9090909090909091,30,29,30,30,30,30,31,32,32,33,33
7,"(0.0, 100.0]",0.8,4,4,4,4,4,5,5,5,5,5,5
8,"(1000.0, inf]",0.9003775776938716,3136,3152,3146,3187,3146,3166,3207,3277,3347,3395,3443
9,"(100.0, 1000.0]",0.9986206896551724,723,723,701,701,703,711,716,713,720,721,725
10,"(100.0, 1000.0]",0.9215491559086395,942,951,901,909,917,940,955,984,994,1006,1007
11,"(100.0, 1000.0]",0.8268156424581006,157,163,158,162,162,162,166,165,171,177,179
12,"(0.0, 100.0]",1.0,10,10,8,8,7,7,7,7,7,7,7
13,"(0.0, 100.0]",0.9354838709677419,28,29,28,28,28,28,28,28,28,31,31
14,"(0.0, 100.0]",0.8333333333333334,5,6,5,5,5,5,5,5,5,5,5
15,"(0.0, 100.0]",1.0,1,1,1,1,1,1,1,1,1,1,1
16,"(100.0, 1000.0]",0.8699763593380615,739,741,769,774,784,792,798,808,823,834,846
17,"(0.0, 100.0]",0.9629629629629629,78,79,77,80,80,81,79,80,80,80,79
18,"(0.0, 100.0]",0.98,100,99,95,95,93,94,94,92,92,92,92
19,"(100.0, 1000.0]",0.8641975308641975,216,222,225,228,228,234,236,235,238,243,243
